Id,Model,Price,Age_08_04,KM,HP,cc,Doors,Cylinders,Gears,Weight
122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,57037,110,1600,5,4,5,1115
123,ÊTOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19950,19,51099,90,2000,5,4,5,1255
124,ÊTOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,40010,110,1600,5,4,5,1115
125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,20,39115,110,1600,5,4,5,1130
126,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,17,36012,110,1600,5,4,5,1130
127,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,16,36000,110,1600,5,4,5,1130
128,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,15950,20,36000,110,1600,5,4,5,1075
129,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,35000,97,1400,5,4,5,1110
130,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,17,33740,97,1400,5,4,5,1135
131,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,13,33477,110,1600,5,4,5,1075
132,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,20,32627,97,1400,5,4,5,1110
133,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,20,29797,97,1400,5,4,5,1110
134,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,19,29441,97,1400,5,4,5,1110
135,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,13,29371,110,1600,4,4,5,1105
136,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,29000,97,1400,5,4,5,1110
137,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,19,27821,97,1400,5,4,5,1110
138,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,19,27371,97,1400,5,4,5,1135
139,ÊTOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,16250,13,25170,110,1600,5,4,5,1105
140,TOYOTA Corolla Luna 5drs D4D116 PK 4/5-Doors,23000,11,25000,116,2000,5,4,5,1320
141,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19900,20,23000,110,1600,5,4,5,1130
142,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16450,20,22588,97,1400,5,4,5,1110
143,ÊTOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,19,21684,192,1800,5,4,5,1185
144,ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,13,21428,110,1600,5,4,5,1130
145,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,18500,16,20629,110,1600,4,4,5,1090
146,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,15,20270,110,1600,5,4,5,1130
147,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16450,16,20105,97,1400,5,4,5,1110
148,ÊTOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20500,20,20000,110,1600,5,4,5,1165
149,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,24500,13,19988,110,1600,5,4,5,1130
150,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19450,19,18328,110,1600,5,4,5,1130
151,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,20950,14,17896,110,1600,4,4,5,1150
152,ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17200,20,17300,97,1400,5,4,5,1110
153,TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19950,19,17038,110,1600,5,4,5,1130
154,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,18450,10,13747,97,1400,5,4,5,1110
155,ÊTOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19500,12,13634,110,1600,5,4,5,1115
156,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,13,13178,110,1600,5,4,5,1130
157,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16868,15,13157,97,1400,4,4,5,1085
158,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,19500,16,13000,110,1600,4,4,5,1105
159,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,11,12500,110,1600,5,4,5,1115
160,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19750,17,11999,110,1600,5,4,5,1130
161,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,19750,16,11754,110,1600,5,4,5,1180
162,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,18950,16,11000,110,1600,4,4,5,1105
163,ÊTOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,20750,17,10000,110,1598,5,4,5,1105
164,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19600,9,7650,110,1600,5,4,5,1115
165,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,14,6500,110,1600,4,4,5,1100
166,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17650,11,6155,97,1400,5,4,5,1110
167,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,14,6000,110,1600,5,4,5,1130
168,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,19950,14,5459,110,1600,5,4,5,1130
169,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,20950,14,5278,110,1600,4,4,5,1150
170,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,12,5000,110,1600,5,4,5,1130
171,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,9,1,98,1400,4,4,5,1065
172,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,18245,9,1,110,1600,5,4,5,1075
173,TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,23750,8,11000,110,1600,5,4,5,1130
174,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,19500,8,10077,97,1400,5,4,5,1110
175,ÊTOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,8,10000,97,1400,5,4,5,1110
176,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,9788,110,1600,5,4,5,1130
177,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,8,8574,110,1600,5,4,5,1130
178,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,8,7000,110,1600,5,4,5,1115
179,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,19950,7,6250,110,1600,5,4,5,1115
180,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,5000,110,1600,5,4,5,1130
181,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,22500,6,3000,110,1600,5,4,5,1130
182,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,18500,7,2000,110,1600,5,4,5,1075
183,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18700,7,450,97,1400,5,4,5,1110
184,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,21125,2,225,97,1400,5,4,5,1110
185,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21500,2,15,110,1600,5,4,5,1130
186,ÊTOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,1,1,98,1400,4,4,5,1100
187,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,18245,1,1,110,1600,5,4,5,1075
188,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6950,43,243000,69,1900,3,4,5,1110
189,TOYOTA Corolla 2.0 D4D SEDAN SOL 4/5-Doors,9500,38,180638,90,2000,4,4,5,1160
190,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,11950,40,179860,90,2000,5,4,5,1205
191,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,7750,43,178858,110,1600,3,4,5,1084
192,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,11950,40,161000,69,1900,3,4,5,1105
193,TOYOTA Corolla 1.8D Stationwagen,4350,44,158320,69,1800,5,4,5,1110
194,TOYOTA Corolla 1.8D 4/5-Doors,4750,44,131273,69,1800,5,4,5,1110
195,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,11750,40,130062,69,1900,5,4,5,1140
196,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,123425,69,1900,5,4,5,1140
197,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,37,118217,110,1600,5,4,5,1075
198,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,11900,44,110000,69,1900,5,4,5,1095
199,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,39,108847,90,2000,5,4,5,1205
200,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,42,105699,97,1400,3,4,5,1025
201,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,39,98823,110,1600,5,4,5,1119
202,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11495,44,96829,110,1600,5,4,5,1075
203,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,11250,40,96518,97,1400,3,4,5,1025
204,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10500,42,92204,110,1600,5,4,5,1075
205,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,10450,35,91456,69,1900,3,4,5,1110
206,TOYOTA Corolla 19D LB Linea Terra 4/5-Doors,12950,43,89968,69,1900,5,4,5,1140
207,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11500,44,89757,110,1600,3,4,5,1045
208,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12500,40,85389,110,1600,5,4,5,1075
209,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,43,85017,97,1400,5,4,5,1060
210,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,41,84312,110,1600,5,4,5,1080
211,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,37,82743,110,1600,5,4,5,1121
212,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,81106,69,1900,5,4,5,1140
213,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,80425,90,2000,5,4,5,1205
214,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,11790,34,78677,110,1600,5,4,5,1105
215,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11450,40,78425,110,1600,5,4,5,1075
216,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13500,33,78108,90,2000,3,4,5,1170
217,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10950,33,77321,110,1600,5,4,5,1075
218,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,33,75699,69,1900,3,4,5,1105
219,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,41,75697,97,1400,3,4,5,1025
220,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,44,74846,97,1400,3,4,5,1025
