_unit_id,policies_violated,review
679455663,SlowService,Let's start here only reason I came into McDonald's waste time till girlfriend flight arrives and ξfor my duaghters. I don't eat fast food ordered two happy meals slow service... While ordering my food ξa guy ask the cashier two use his cell in the middle of my order that was strike one then give me little boy toys knowing I have twin girls stabding right in front of him. Im glad I will never have to return here I live way in sandy springs.... I can see the difference between service and the staff The building it self is brand new change your staff this is Blackmac not McDonald's im black myself but telling the truth
679455664,RudeService,"Other businesses throughout Metro Atlanta opened their doors to stranded motorists during the Jan. 2014 snow storm. This McDonald's on Camp Creek Parkway told ξa group of senior citizens who were on the way home from an outing that they had to leave their restaurant. ξAll they cared about was the dollar. ξAfter they got that, they were done with them. ξToo bad they couldn't have made it down the street to Wendy's or Chic Fil A and other restaurants."
679455665,RudeService,"The drive thru makes them lost a star since my last review.This is one of those two lane drive thrus, and I know that the function of that is so that the orders are not messed up when you get to the window, but almost everytime, the cashier ends up asking me what did I order. ξI inquired about that before and was told, that when someone drives off that messes up the order.Well, I guess there's no controlling drive off, and at least I know my order has been confirmed, so it should be right by the time I get to the second window.This McDonald's, also has a late night drive thru Thur - Sat, it use to be a 24 hour on those days, but I don't think it is any longer. One of my biggest pet peeves is that the drive thru staff has no smile in their voice. When you are ordering food from the luxury of your vehicle you want to think that the person in charge of taking your order is in good spirits, but not at this location."
679455666,SlowService,"Believe it or not, this used to be q really good McDonalds. The drive throuh is so slow, it is frustrating but the service is always friendly. Food is normally luke warm. My niece likes the toys from McDonalds, I wonder if I pull up to the window and say, let me just get the toy, woulf service be faster?"
679455667,"BadFoodRudeServiceSlowService","As the previous yelpers have already stated, this place is pretty slow. The food is usually cold.. and the service....yeah. you guessed it. Poor."
679455668,"SlowServiceScaryMcDs",25 minutes in drive through line. Gunshots from the apartments behind. ξWorst McDonald's ever!
679455669,"SlowServiceMissingFoodBadFood","Super slow service, food's terrible like its been sitting and then reheated. ξEverything is out, napkins, iced tea"
679455670,SlowService,"SLOW-SLOW-SLOW! ξDon't go here if you have a flight to catch...or a life to live!!!!! ξIf you're hungry, wait until you get to the airport. ξThis particular McDonald's is just not worth your time."
679455671,SlowService,"On your way to the airport or just cruising down Camp Creek Pkwy? ξAre you absolutely in Love with McDonald's Sweet Tea? Well then don't ever go through this drive thru. ξHands down this is the slowest McDonald's drive thru I've experienced in Atlanta. ξConsidering this location is close to the airport it would be great if they could simply improve the quality of service. ξAs a lover of Sweet Tea, I was completely turned off by this location when I overheard the drive thru operator joking about how sweet it was a few years ago. ξShe told a few of her associates that it was like ""syrup"" and ""liquid diabetes"". By the time I took my first and only sip, I was on I-285 headed to Perimeter Mall and it tasted like cold syrup! ξThank goodness for the McDonald's near Perimeter Mall because they refilled my drink. So the moral to the story is, if you're on Camp Creek Pkwy near the airport, bypass McDonald's and head for Chick-fil-A. #EatMoreChicken"
679455672,RudeService,This is the worst McDonalds I have ever seen. ξThe service was terrible and the employees were either lazy or incompetent. I will never return to this establishment.
679455673,BadFood,"I had the McCafe Mocha and must say that it was better than drinking sand and salt water, that's about it.Too sweet and I couldn't even taste the coffee over the other weird flavors going on in this drink.Stick with the Starbucks mocha, folks. ξTrust me on this one."
679455674,ScaryMcDs,"GHETTO!! went in yesterday just to get a soda and could not even park in handicap parking spot because their delivery truck was blocking all spaces. ξFinally made it inside and it was about 5 customers to one cashier. The shift manager made the comment that the car that was waiting needed to be pulled up because they are holding up her line. ξNow how is that when they are waiting on their order...hell I was thinking you are holding up the customer and the others waiting.! Anyway finally placed order and was told $1.07, which I paid exact price. Here is where its sad...the cashier did not ring up the soda so therefore I did not get a receipt. I know that she planned to pocket the money, which is sad and bad because eventually that cost will get passed off to customers through price increases. I will not return here because I don't like to feel like I am in someone's ""hood"" and I HATE A THIEF!!! maybe I will call to tell them but then again they probably don't care or maybe even steal themselves. ξplus I do not eat fast food anyway so no need to waste precious minutes"
679455675,"RudeServiceOrderProblem","I visited mcdonalds on Dec 20, 2011 at 12:54 I bought 3 cheese burgers 2 large fries and 2 orders of pies. ξThey charged me for 3 fries so I went back into store and told the cashier. She denied I said ξ I ordered 2 fries. ξThen manager came over and said whats the problem. I told him and he said looked into the bag, grabbed the xtra fries and lterally threw them into the waste bucket by the drive tru from the cashier . ξThen reached into cash register and gave me change for the fries. ξThen i said thank you and he said ok boss and I left. ξI then called mcdonalds people via the nimber on the website after I ate. I told then I was going to wait to yelp after I heard from McDonalds. ξStill no call or email. ξAs a side note ...Tom N. ξ(the otther yelper) is right, they are very rude there and seem bothered to help you and not at all nice to the kids. ξThe play room is sticky and the video games in ther always cause an altercation with kids and parents. ξThe only reason I gave 2 stars was because the fries were hot and the sweet potatoe fries were good and warm."
679455676,BadFood,I usually hit the drive thru once or twice a week for breakfast. A lot of times the forget to include the hash brown if I order a meal. If I order hot cakes they usually forget either butter or utinsils prompting me to have to go inside. The food is also very inconsistent.
679455677,OrderProblem,"What a joke.Don't do take out as you will not get anything that you ordered. We prefers and paid for items only to get home with 50% of the order accurate. I've been there numerous times and sadly the same thing happens. It's my fault because I should learn.Does anyone know the owner?I can't believe that he would like this comment. Woodstock Macdonalds is not the place that Ray Crock invented. Save yourself the frustration and waste if money, don't go there!I've learned now."
679455678,BadFood,I wish I can give zero stars. Freezing cold reheated soggy fries and twice fried chewy nuggets = straight to my trash can.
679455679,"RudeServiceBadFood","I agree with most reviewers on this one. Staff is always rude and annoyed that you're there!!1 I travel weekly to Atlanta Hartsfield Airport and this McDonald's never has fresh hot coffee at 4:30/5:00 AM. Always have to wait while they brew coffee, WTH!!"
679455680,"FilthyBadFood","I don't think this location deserves even one star. ξThis is the filthiest McDonalds I have ever visited. ξI have been to hundreds of different McDonalds in numerous states as well as 19 foreign countries. I went to this location on 3/29/12 for breakfast. ξThe first thing I noticed was that the floor was sticky. (A previous reviewer made a similar comment about the play area.) When I noticed this, I said to myself, ""this isn't right."" ξThen when I looked for a place to sit, I spotted all the debris in the seat crevices and the floor. There were also flies in the dining area which I had to repeatedly brush off my food. ξAs for the food, it seemed OK, except, this was the first time ever that I was given cold syrup for my hotcakes at a McDonalds.."
679455681,"SlowServiceRudeService",This is one rude Mcdonalds! The food takes longer to prepare than any other Macdonalds I have ever been to. The people working there always seem annoyed like you are bothering them just by being there. I avoid this mc d's whenever I can.
679455682,SlowService,the managers at this mcdonalds are awesome but some of the workers are lazy. ξoverall an average mcdonalds. ξafter visiting it and some other once i realized that this one is really average. ξthe only thing good about this one is that the management is awesome and its across the street from my house so i can sit around and study till midnight and no one bothers me.
679455683,"SlowServiceBadFood","It had been a while since I had stopped at this particular one. ξThey have done a total remodel and it looks fairly fresh. ξStopped by about ξ10-11pm and went through drive thru. ξI thought I'd try a new McWrap. ξGot a fry and a spicy chick along with that. ξ I was asked to pull up after sitting at the window for a few minutes and they would bring me ξmy order. ξThat is fine, except about 15 minutes later I'm still waiting. ξSo I go to check what is going on and end up waiting another 5 minutes. ξ It appeared I wasn't the only one that had a long wait in drive thru as well. ξ McWrap - I was disappointed. ξLooked like a wrap that had grilled chicken sprinkle with some mixed greens, then had sweet and sour sauce dumped in it."
679455684,RudeService,Disorganized. ξDidn't even get to order. Employees were hanging out with friends out front.
679455685,na,"This has got to be one of the busiest McDonald's in the metro area ... if not the southeast ... and they are fairly efficient despite being so busy all the time.You can come by just about any time of the day and find the line of cars for the ""drive-thru"" wrapped around the building...It's generally more efficient to go into the building and place your order than wait in the line of cars spewing smog... and since the building is open 24 hours now that should make it easy to get your McFix...good job, Clairmont McDonald's!"
679455686,"RudeServiceOrderProblemBadFoodFilthy","THIS MCDONALDS IS HORRIBLE! They are also down the street from my house. You might just want to go to the next McDonald's down the street, less than half a mile maybe. It's brand new and just opened. The reviews here speak for themselves. NO CUSTOMER SERVICE WHATSOEVER. they always rush you at drive-thru and never get the meal correct because they are all ignorant fucks who can't speak proper English or don't even know English. They don't even give you time to respond on an order completion. I've dined inside and it was fine, however it was dirty around me on most occasions. But 99% of the time I eat there, MY MEAL IS ALWAYS INCORRECT! Always! It's ridiculous! I found out it's an ongoing problem; especially at this store. The fries are always pre sorted and they are a hot or miss. They are really good or really bad, which is really annoying. The sandwich is the same, sometimes they put fresh dripping meat on the bun and it makes it soggy, which is disgusting. Most of the times the sandwich is just plain incorrect. I've had to call corporate about the poor customer service I've had with employees and several managers at this location; as well as the constant issue of my order being messed up (which is very inconvenient in drive-thru). I'm telling you, go to the next McDonald's. The employees here hate their job and are idiots."
679455687,"RudeServiceOrderProblemBadFood","Nuts and bolts: Stopped by on my way into work to grab breakfast after getting some Sam's Club gas.Pros: Convenient location for me, right off I-85. Fast service.Cons: The sausage biscuit I had was sub-par. ξThe biscuit was overcooked and hard. ξThe sausage was not cooked enough. ξOnly gave me one jelly packet. ξMost places give me at least two. ξForgot to give me a straw for my sweet tea. ξSweet tea was not sweet enough. ξGave me no napkins. ξNeutral: ξWhen I was in line paying, a woman pulled up next to me to complain to the cashier that something was wrong with her order. ξSo she jumped in front of me to get her order fixed. ξNeutral about this since I don't have details.Take home: I will try them one more time. ξIf they fail again, I will just pass."
679455688,MissingFood,"The ice cream machine is always ""down"" after 11 p.m. If you want a hot fudge sundae, don't even bother."
679455689,na,Regular McDonald's. Close to the highway which can be good and bad.
679455690,,"Stopped here on the way downtown this morning to get a yogurt parfait. ξThese snakes gave me dairy products that had an expired ""use by"" sticker and I didn't even notice until I was halfway to downtown. Gross, guys. ξThere's no point in putting freshness dates on your food if the employees can't or won't read."
679455691,na,"I highly recommend this McDonalds!******if and only if you are trapped at Northside Hospital, are ravenously hungry, and have absolutely no other option. ξEating at this McDonalds is slightly better than eating out of a vending machine or dumpster."
679455692,"RudeServiceBadFoodFilthySlowService","TOXIC DUMP! In food quality and employee humanity/work effortTypically, I do NOT eat McDonalds food; yet similar to the experience of others ""trapped"" at Northside Hospital there is no other option if you are hungry outside of the hospital cafeteria hours of operation. Due to a relatives stay and my visits/overnights for 11 weeks~ I too found myself ""trapped"" and therefore forced to buy at McDonalds. Mostly my visits were for coffee or ice cream sundaes. However, last night, for the first time I ordered food (grilled chicken salad) I returned it ~ the meat smelled BADLY. This did not surprise me and only enforced my resolve to avoid chain food restaurants.What did surprise me and absolutely SHOCKED me was the customer service offered by employees ~ HOW in the world can you BE an employee here and NOT for ONE MINUTE or even a second acknowledge the obvious FACT that you work inside a HOSPITAL; then consider what that means for each and every person that approaches your counter to order. HOW you do not SEE them, in FACT that you easily DISMISS them, is beyond my comprehension to understand! HOW you lost your sense of humanity, in all honestly should cause you to pause and contemplate this ~ Are you not aware that you are reflecting how YOU measure within YOU your own sense of dignity?Within my and family/friends of patient at Northside Hospital for the past 11 weeks: each and every time I/they had to place an order I /they was/were subjected to McDonalds toxic business model (in food) which now has transferred (we learned) into their employees. NOT once was I thanked for giving my order; NOT ONCE was I thanked when delivered my order. Yet, at EVERY visit I WAITED and witnessed employee behaviors that were readily displayed and relayed in body language, effort toward actual work, and obvious attitude not only toward me, but guests in front of me. God forbid I happened to have question in reference to the menu (employee response: blank stare, shrug, looking behind them at menu only to turn back around with a blank stare and/or shrug again). ξGod forbid, on separate occasions I happened to ask for a spoon/napkin/straw. Last night, I happened to ask for my drink please (after receiving my salad and waiting for longer than normal) YIKES, you think I had asked him to draw blood!***One more detail regardless if I arrive at 2am, 4am or between 7:30 pm ~ 11 pm this McDonalds is ALWAYS consistently FILTHY! Not just dirty, but FILTHY!Can anyone lift a broom to sweep up the garbage in the service/cooking area; also in the dining room?Can anyone clean the crud surrounding the plastic display case for cookies ALREADY? It's been 11 weeks and that crud is STILL smeared dried; just gross.Wash/disinfect the countertops, payment pads, straw holders, everywhere spills occur; including areas customers touch. EVERY HOUR! Get it? Every single hour! GET a cleaning ONLY employee! This employee will do NOTHING but be THE OCD employee you NEED! Just stop this ATROCIOUSLY DIRTY & DISGUSTING feeding trough you call a restaurant. You should be ashamed.**************************************************�_**************************************Northside Hospital ~ ξYOU are responsible for allowing this restaurant to wallow within your walls! How many more years will you ignore not only the unhealthy food options McDonalds supplies~ but to continue to ALLOW a daily dose of DELIBERATE and DILIGENT unhealthy, negative, and ""put upon"" attitudes from employees, to be delivered to family, friends and employees that are there only because they CARE and are there for YOUR patients! HOW this does NOT cause you to react and ACT is beyond me.In my world, with SO MANY options available, this place would be GONE ~ like TODAY; certainly NOT any longer than tomorrow!This toxic waste site is dumping daily doses of negativity, inhumanity~ its seeping and reverberating within the walls of this hospital. I know you FEEL IT!"
679455693,BadFood,"I know i shouldn't need to ask but experience has proven it's a good I idea, tonight I forgot ξto ask them to make sure the coffee wasn't old and after i drove any i checked and it was not only old it was cold!"
679455694,SlowService,"I don't often eat at McDonald's, or ever in fact. I don't have much expectation for healthy foods but the one thing I do expect is decent service and fast food. This branch for neither. Food was really slow to come out and I had to ask thrice for the coffee that i ordered. Shocking service delivery"
679455695,"SlowServiceCost",Little bit more expensive than other Mickey Dee's. Beggars can't be choosy. Slow service and it's packed. its open 24/7/365. and the workers are pretty nice. didn't have many other choices and this filled the need.
679455696,"SlowServiceOrderProblem","This is the McDonald's inside the Northside Hospital.For being the only option to get something to eat (evidently they don't have a proper cafeteria like most hospitals do) it had to do...Complete disorganization are the only two decent words I can come up for this place. ξThere was a huge rush of people oddly enough that evening, and the staff had no clue what to do. ξOrders were wrong, missing items, and the wait time was unbearable."
679455697,"CostMissingFood",The worst McDonalds ever. Complete chaos. The prices are higher than the average and they don't have all of the regular items like lattes or fraps. The staff seems to be uninterested in taking or completing your order. It is as if they are aware that you are pretty much at their mercy.
679455698,na,"A captive audience of transient visitors and exhausted staff are the only way this McDonalds, which is basically the only food option at Northside Hospital, could possibly stay in business."
679455699,BadFood,AND STILL FRENCH FRY CHAMP.........The burger taste not sop much.... But this location fast and friendly.
679455700,RudeService,"BEWARE! I saw the manager filling orders for drive-thru customers using bare hands - no gloves or utensils to pack fries - and this is the weirdest thing ever: she was 'fingering' plastic cup lids!?! Don't know what else to call it! She poked her finger through the plastic cup lids (in the slit made for straws) before inserting straws! What the hell for? Imagine a finger, no gloves, super long nails, painted, and this being inserted into every cup lid before inserting the straw! Why did she need to expose customers to her nails and the shit and germs (nails looked filthy!) underneath? She was using her nails as a tool! The straw can be used to go through the straw slit! No need for a finger nail! FILTHY! I saw this going on inside while the poor folks in drive-thru didn't see this! And the cashier had a bad cold and was wiping his runny nose all over with the back of his hand! What can you expect if the manager herself is filthy and polluting the food! Who knows where her hand'a been?"
679455701,SlowService,"Worst Mc Donalds in all of Atlanta... 15-25 min stop every time even if they have no customers. Straight ridiculous. I live across the street and REFUSE to stop there. Nope I will NEVER give anyone my money who to a location doesn't value and appreciate it. Same manager every time... common trend? called regional, pretended to care. Either way... only thing they will give you is COLD food after a 30 min wait, a major headache and crappy service! SKIP THIS STOP!"
679455702,na,Its good. 24hr
679455703,OrderProblem,"What the freak-nik is this?There are 25 cars in the drive thru at 9am. ξIs everybody going to Mickey Dees today?You can guess that volumes of business like this, means that someone's going to get their order wrong...and today it was me.They put cheese on my steak BISCUIT, but I requested a steak and egg BAGEL. I had to request a straw for my large soda. ξGuess I should have checked my sandwich while I looked for the missing straw.I expect much better from a Mickey Dee's"
679455704,BadFood,"I've enjoyed a couple eggwhite delights here, but not much else. I usually really like McDonald's salads as a quick, relatively healthy option on a tight budget, but the salads I've had at this particular restaurant has been just kind of gross."
679455705,na,"Sometimes, you just need a Mickey D's fix. Usually, for me anyway, that ""sometime"" is very late at night - er, early in the morning, depending on how you want to slice it.24-hour drive thru - check. Fries still made fresh at all hours - check, check. A double cheeseburger for a steal ($1) and a Coke to go with. CHECK! Yep, all your drive-thru goody/bad-ness waiting for you.Yum."
679455706,na,My order was fresh and prepared correctly. They were friendly and moved the drive-thru line quickly during the lunch rush. Very good!
679455707,"FilthynaSlowServiceScaryMcDsRudeServiceOrderProblemMissingFoodCostBadFood","The worst McDonalds franchise I've visited. ξI fired off complaints to McDonalds Corp. ξthinking they might want something for their file to rid themselves of this lazy franchisee & all I got was a lame apology months later w/ a coupon for more food! ξIt was well after the dinner rush, every table was dirty, floors so sticky I almost walked outta my shoes, surly staff, just plain dirty."
679455708,"OrderProblemRudeService","I've gone to this McDonald's several times and they've gotten my order completely wrong. I go there before work around 7:30 so I'm very hungry and I order a bacon egg and cheese biscuit... Once I get to work I find what is in my bag is actually an egg mcmuffin...I absolutely hate those..so of course it's too late for me to drive back and get my correct order. I dont expect this to happen and its a elveru bisy mcdonalds so i dont stop at the srive thru to check my bag.I'd just like to say,if this happened once In a blue moon,that's fine. Mistakes happen..but not this many times. Over it. I also notice that while I'm giving my order at the drive thru,the person taking it is either never paying attention or rude. I wish this would change.. This McDonald's seems to be constantly packed with people in the morning because its on a very high traffic road so they need to reevaluate their customer service."
679455709,Filthy,This is the most disgusting McDonalds on the planet. ξDoubt me? ξGo into this nauseating cesspool and find out for yourself. ξI was shocked because it was in a very nice area and has a playground. ξIt is by far the nastiest McDonald's I have ever been into.
679455710,na,"I gotta wake my ass up at six AM every day of this week and drag myself up to Vascalinas. Yeah, I'm doing the drywall up there at the new McDonalds."" -- Office Space (1999)So what a difference a complete overhaul makes. ξThis location was recently LEVELED and rebuilt - and they did a complete 180 - and when I say that, the building was even rotated by 90 degrees.So this is in an area where most of the streets around it are one way, so it can be confusing to get in and out of - and the previous drive-thru began and ended in different places. ξNow, they redesigned the place so that it makes more sense and the flow works even better than before - and the previous location was there for 30 years? ξWow.The new one is sleek, clean, modern and beautiful. ξThe drive-thru staff was super friendly (I was buying a Sprite for heaven's sake) and both the young lady who took my money and the one who handed me my drink said ""we hope to see you back here again soon."" ξThat's great service, personable and I would be happy to return (not that I do McD's very often). ξBut I'm more apt to come to this one than any other."
679455711,"OrderProblemSlowService","This is by far the worse McDonald's I've ever been too. My bf wanted their chicken nuggets because it was $1.99 for 10 pieces. We got there and placed an order for 30 pieces. It took us 15 minutes to get it and he was charged twice the amount. We were told by the cashier that the manager would fix this problem and he never did until we had to ask ourselves. Overall it took a long time to get our food, we received the wrong sauces, and it was an overall poor experience. I will not return to this location."
679455712,RudeService,Food is what you would expect from McDonald's but the management and staff could use some coaching in customer service. ξI come to this restaurant frequently in the mornings & the manager always seems to have a surly attitude. ξHe acts as though he is doing you a big favor to wait on you and even take your money
679455713,,Went to order a meal via drive through and there was a live roach (not waterbug) on the window crawling in mid day. I showed it to the gentleman that was collecting my payment and he never noticed the roach there. I canceled my order immediately and drove away.
679455714,na,"Before a morning round of golf, I needed a quick breakfast. ξIt had to be quick because I needed to make my tee time. ξIt had to be big because I needed energy for the course. ξI stopped into this Mickey D's and right behind the register I saw ""Big Breakfast with Hotcakes."" ξSounded good to me.Just seconds after swiping my credit card, I was handed a tray with three hotcakes (McDonald's pancakes), scrambled eggs, a sausage patty, a biscuit, and a McDonald's hash brown. ξOh yeah, and two containers each of syrup and butter. ξAll this for less than five bucks. ξNow that's what I call fast food. ξIt's fast and it's cheap. ξThis is why America has an obesity problem.Nearing the end of my meal, I started to realize that it was a lot of food. ξI can eat a lot and I could have probably done OK without the extra hash brown or biscuit (I was also rushing). ξFor three pancakes, I only needed one container of syrup. ξI like their butter. ξIt's very wispy. ξEverything was good and tasted consistent with what you'd expect of McDonald's. ξOut of curiosity, I went to McDonald's web site to see how many calories was in this meal: 1,090."
679455715,OrderProblem,"My Wife and I have been to this McDonalds about 10 times since the rebuild. There is a whole new staff of people working there. In the 10 visits we have yet to get a complete order. I went inside the restaurant this evening in hopes of eliminating the issue we had been having. I ordered 2 quarter pounders, 2 apple pies and 1 hamburger. I was given my order to go, missing the 2 apple pies and hamburger. Beware if you go to this McDonalds and check your order."
679455716,,"Typical McDonald's restaurant located at Powers Ferry and New Northside on the north end of the perimeter. I have always avoided this location due to the fact that I'm not really a fan of McDonald's in general, but the other morning on my way to work I was craving some breakfast and only had time to pull into a drive-thru and grab a quick bite to go. Since McDonald's is the only place with a drive-thru on my way to work I stopped by here to grab their special 2 bacon, egg, & cheese biscuits for $2.50. The food was ok, just tasted like you would expect McDonald's food to taste. The service was pretty good at the drive-thru, they were friendly enough. But what really gets me is how lazy has America become that the drive-thru welcome and what would you like to order has to be automated at McDonald's."
679455717,na,It'll make ya fat
679455718,"SlowServiceBadFood","On my way to Curry Honda for my scheduled maintenance appointment, I went to the drive-thru of this McDonald's since it was so conveniently located almost adjacent to the Honda dealership. ξIt was around 1:45 pm on a Saturday afternoon, and there were probably only two cars in front of me, so I thought I'd be in and out of there quickly. ξWhat I thought would be a ""quick"" drive-thru took over ten minutes. ξI'm not sure what the hold up was, but perhaps one (or both) of the cars in front of me got a large order. ξAll I ordered was a Spicy McChicken Sandwich, small fries, and a cup of ice water.Again, Curry Honda is located super close to the McDonald's, so the food should have still been hot (or at least warm) when I got there. ξHowever, when I sat down to eat my food in the waiting room, I noticed the sandwich and fries were barely warm, and the ice in my water was almost completely melted. ξI guess the food had been cooked and sitting out for a while, and they must keep cups of ice water ready to hand out to customers. ξBoo. ξIt was my first time trying the Spicy McChicken Sandwich, and I thought it was decent. ξIt has a very slight kick of spice and is at least a little more interesting than the plain ol' McChicken Sandwich.Overall, this McDonald's gets 3 stars for being ""OK."" ξYes, service could have been quicker, and the food should have been served hotter, but this is a McDonald's and at least the employees were friendly. ξI may return to this McDonald's if I'm on my way to Curry Honda and didn't have time to grab food elsewhere, but it wouldn't be my top choice for fast food in the area.[Review 324 of 366]"
679455719,,Just sat at drive thru several minutes no one is answering. I can see employees walking around and it is 5:48 am and they should be open. I wonder if this franchises owner is aware that he is losing business due to this. I bet they do and dont care.
679455720,na,"Holy crap dudes, this is the fastest McDonald's in Atlanta. ξI placed a special order during rush hour (two Egg McMuffins with no Canadian bacon), and by the time I reached the pickup window someone was already walking my order to the window.And they even got it just the way I like it -- no eggshells!"
679455721,OrderProblem,"I purchased a specialty coffee in the drive through, but soon after I pulled out and away I realized I had been given a black coffee for the price of $3. Mistakes happen so I kept my receipt and went back exactly a week later within the hour, since I was making the same trip. I went inside, out of respect to show my face that I wasn't trying to scam them, and the manager was working the register. I told him what happened and that I'd like the specialty coffee I originally ordered. He pointed that it had been a week since the original purchase and that he needed proof I wasn't lying about my incorrect order. Mind you, at 6:30am 6 people were all waiting around for their order, which shows slow and poor service. I didn't argue and I walked away leaving my receipt on the counter. I was simply asking for a coffee, not even an entire meal. I don't post about these sort of things, but this time was different. The manager could have easily offered a variety of resolutions, but all he said was ""no I'm sorry"". Well, I'm sorry, but I've never been so dissatisfied with customer service and let alone management of a restaurant! Please stay away from this location for the sake of your pockets and your sanity."
679455722,OrderProblem,the last 20 times we been to this McDonald's they screw up the order at the drive thru and walk in the guy with the Afro don't care I think he's a manager
679455723,"OrderProblemSlowService","I've generally had good service here, but this morning at the drive-thru was the pits. ξI was initially 6 cars back from ordering, and it seriously took me about 10 minutes to get my food. ξWhen I was ordering, I had to repeat it four times very slowly and they still got my drink size wrong. ξWhen I got it, my food was great, but the visit was very painful overall. ξI hope this visit was a fluke. . ."
679455724,na,Hot fries i like.
679455725,"RudeServiceFilthy","The customer service was HORRIBLE! ξThey seemed angry to work here and they would get upset if you ask for more ketchup or condiments. Also, the kids play area was filthy. It had old dirty food on the floor and it was ξfull of lint. Stay away from this location."
